Common Name ,Scientific Name 
London Planetree ,Platanus × acerifolia
Honeylocust ,Gleditsia triacanthos
Callery Pear ,Pyrus calleryana
Pin Oak ,Quercus palustris
Norway Maple ,Acer platanoides
Little-Leaf Linden ,Tilia cordata
Cherry ,Prunus cerasus
Japanese Zelkova ,Zelkova serrata
Ginkgo ,Ginkgo biloba
Sophora ,Sophora 
