Common Name ,Scientific Name 
London Planetree ,Platanus × acerifolia
Pin Oak ,Quercus palustris
Honeylocust ,Gleditsia triacanthos
Norway Maple ,Acer platanoides
Callery Pear ,Pyrus calleryana
Cherry,Prunus cerasus
Little-Leaf Linden ,Tilia cordata
Japanese Zelkova ,Zelkova serrata
Green Ash ,Fraxinus pennsylvanica
Silver Maple ,Acer saccharinum
