Common Name,Scientific Name 
Callery Pear ,Pyrus calleryana
London Planetree ,Platanus × acerifolia
Red Maple ,Acer rubrum
Pin Oak ,Quercus palustris
Cherry ,Prunus cerasus
Sweetgum ,Liquidambar styraciflua
Honeylocust ,Gleditsia triacanthos
Norway Maple ,Acer platanoides
Silver Maple ,Acer saccharinum
Maple ,Acer 
