Common Name ,Scientific Name 
Honeylocust ,Gleditsia triacanthos
Callery Pear ,Pyrus calleryana
Ginkgo,Ginkgo biloba
Pin Oak ,Quercus palustris
Sophora ,Sophora 
London Planetree ,Platanus × acerifolia
Japanese Zelkova ,Zelkova serrata
Little-Leaf Linden ,Tilia cordata
American Elm ,Ulmus americana 
American Linden ,Tilia americana
